"workerId","response","true_category","experiment","stimuli","width","height","hitId","time","stimuliTraining","true_category_training","nasa1","nasa2","nasa3","nasa4","nasa5","nasa6"
"A2539PUSDD137T","1","1","Face","true-false-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","true-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","1","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","1","Face","false-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","true-false-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-false","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","true-false-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","true-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","1","Face","false-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","true-false-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","true-false-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","2","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","2","Face","false-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","1","Face","true-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-false","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","2","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","2","Face","true-false-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-false","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","2","Face","false-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","true-false-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","true-false-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","true-false-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","false-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-false","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","false-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","2","Face","true-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","1","2","Face","false-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-false","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","false-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-false-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-true-false","1","3","1","2","4","2","2"
"A2539PUSDD137T","1","1","Face","true-false-false","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-false-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","true-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","true-true-true","2","3","1","2","4","2","2"
"A2539PUSDD137T","2","2","Face","false-true-true","1920","1080","3PEG1BH7AFRYGMOKQJIYQZGV99EKBX","413.99000000953674","false-false-true","1","3","1","2","4","2","2"
