"workerId","response","true_category","experiment","stimuli","width","height","hitId","time","stimuliTraining","true_category_training","nasa1","nasa2","nasa3","nasa4","nasa5","nasa6"
"A3ET7CEGM3WCQ3","1","2","Petals","true-false-false","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-false-true","1","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","1","1","Petals","true-true-true","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-true-true","1","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","1","2","Petals","true-false-true","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-true-true","1","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","1","2","Petals","true-false-false","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-false-true","1","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","1","1","Petals","true-true-true","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-true-false","2","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","2","2","Petals","false-true-false","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-true-true","1","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","2","2","Petals","false-false-true","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-true-true","1","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","1","2","Petals","true-false-false","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-true-true","1","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","1","2","Petals","true-false-true","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-false-false","2","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","1","1","Petals","true-true-true","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","false-false-true","2","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","1","1","Petals","true-true-true","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-false-false","2","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","2","2","Petals","false-false-true","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","false-true-false","2","5","3","5","3","6","6"
"A3ET7CEGM3WCQ3","1","1","Petals","true-true-true","1440","900","378G7J1SJMYNIPULPO3RFIGBZD0EWN","271.3139998912811","true-true-true","1","5","3","5","3","6","6"
