"workerId","response","true_category","experiment","stimuli","width","height","hitId","time","stimuliTraining","true_category_training","nasa1","nasa2","nasa3","nasa4","nasa5","nasa6"
"A1RW6RIF1MT2YT","1","1","Petals","false-false-true","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","true-true-true","2","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","2","2","Petals","true-true-true","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","true-false-false","1","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","1","2","Petals","false-false-true","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","true-true-false","1","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","1","1","Petals","true-false-true","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","true-true-true","2","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","1","2","Petals","true-false-true","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","true-false-false","1","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","2","1","Petals","false-true-true","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","false-false-true","1","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","2","2","Petals","true-true-true","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","false-false-true","1","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","1","1","Petals","false-true-false","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","true-true-false","2","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","2","2","Petals","true-true-true","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","true-false-false","1","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","1","1","Petals","true-false-false","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","true-false-false","1","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","1","2","Petals","true-false-true","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","false-false-true","1","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","2","2","Petals","false-true-true","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","true-false-true","2","5","4","2","2","7","2"
"A1RW6RIF1MT2YT","1","1","Petals","false-true-false","1600","900","32LAQ1JNTAPCF4NDKJDLWGVFH6VUTB","770.6259999275208","true-true-true","2","5","4","2","2","7","2"
